Creacion 11/05/2018 11:16:27 a.m.
CLIENTE_ID|FECHA_ALTA|FECHA_CONFIRM|FECHA_BAJA|STATUS|SYSDATE
3965801|2018/05/03|2018/05/03||18|2018/05/11
3965809|2018/05/03|2018/05/03||1|2018/05/11
3965841|2018/05/09|2018/05/09||18|2018/05/11
3965842|2018/05/03|2018/05/03||18|2018/05/11
3965865|2018/05/03|2018/05/03||1|2018/05/11
3967042|2018/05/03|2018/05/03||1|2018/05/11
3967049|2018/05/04|2018/05/04||1|2018/05/11
3967068|2018/05/09|2018/05/09||18|2018/05/11
3967073|2018/05/04|2018/05/04||1|2018/05/11
3967078|2018/05/11|2018/05/11||18|2018/05/11
3967079|2018/05/02|2018/05/02||18|2018/05/11
3967758|2018/05/03|2018/05/03||1|2018/05/11
3967760|2018/05/04|2018/05/04||18|2018/05/11
3968673|2018/04/30|2018/04/30||30|2018/05/11
3968674|2018/04/30|2018/04/30||30|2018/05/11
3968675|2018/04/30|2018/04/30||30|2018/05/11
3968676|2018/04/30|2018/04/30||30|2018/05/11
3968677|2018/04/30|2018/04/30||30|2018/05/11
3968678|2018/04/30|2018/04/30||30|2018/05/11
3968679|2018/04/30|2018/04/30||30|2018/05/11
3968680|2018/04/30|2018/04/30||30|2018/05/11
3968693|2018/05/10|2018/05/10||18|2018/05/11
3968697|2018/04/30|2018/04/30||30|2018/05/11
3968698|2018/05/04|2018/05/04||1|2018/05/11
3969075|2018/04/30|2018/04/30||30|2018/05/11
3969076|2018/04/30|2018/04/30||30|2018/05/11
3969077|2018/04/30|2018/04/30||30|2018/05/11
3969078|2018/04/30|2018/04/30||30|2018/05/11
3969079|2018/04/30|2018/04/30||30|2018/05/11
3969080|2018/04/30|2018/04/30||30|2018/05/11
3969081|2018/04/30|2018/04/30||30|2018/05/11
3969082|2018/04/30|2018/04/30||30|2018/05/11
3969083|2018/04/30|2018/04/30||30|2018/05/11
3969084|2018/04/30|2018/04/30||30|2018/05/11
3969085|2018/04/30|2018/04/30||30|2018/05/11
3969086|2018/04/30|2018/04/30||30|2018/05/11
3969087|2018/04/30|2018/04/30||30|2018/05/11
3969088|2018/05/10|2018/05/10||18|2018/05/11
3969089|2018/05/09|2018/05/09||18|2018/05/11
3969090|2018/04/30|2018/04/30||30|2018/05/11
3969091|2018/05/09|2018/05/09||18|2018/05/11
3969092|2018/04/30|2018/04/30||30|2018/05/11
3970139|2018/05/02|2018/05/02||30|2018/05/11
3970140|2018/05/02|2018/05/02||30|2018/05/11
3970141|2018/05/02|2018/05/02||30|2018/05/11
3970142|2018/05/02|2018/05/02||30|2018/05/11
3970143|2018/05/02|2018/05/02||30|2018/05/11
3970144|2018/05/02|2018/05/02||30|2018/05/11
3970145|2018/05/02|2018/05/02||30|2018/05/11
3970146|2018/05/02|2018/05/02||30|2018/05/11
3970147|2018/05/04|2018/05/04||18|2018/05/11
3970148|2018/05/02|2018/05/02||30|2018/05/11
3970149|2018/05/02|2018/05/02||30|2018/05/11
3970150|2018/05/02|2018/05/02||30|2018/05/11
3970151|2018/05/03|2018/05/03||1|2018/05/11
3970152|2018/05/04|2018/05/04||18|2018/05/11
3970153|2018/05/02|2018/05/02||30|2018/05/11
3970154|2018/05/04|2018/05/04||1|2018/05/11
3970155|2018/05/02|2018/05/02||30|2018/05/11
3970156|2018/05/04|2018/05/04||18|2018/05/11
3970157|2018/05/03|2018/05/03||18|2018/05/11
3970158|2018/05/02|2018/05/02||30|2018/05/11
3970159|2018/05/04|2018/05/04||1|2018/05/11
3970160|2018/05/02|2018/05/02||30|2018/05/11
3970161|2018/05/02|2018/05/02||30|2018/05/11
3970162|2018/05/02|2018/05/02||30|2018/05/11
3970163|2018/05/02|2018/05/02||30|2018/05/11
3970164|2018/05/02|2018/05/02||30|2018/05/11
3970165|2018/05/02|2018/05/02||30|2018/05/11
3970166|2018/05/02|2018/05/02||30|2018/05/11
3970167|2018/05/08|2018/05/08||1|2018/05/11
3970168|2018/05/02|2018/05/02||30|2018/05/11
3970169|2018/05/02|2018/05/02||30|2018/05/11
3970170|2018/05/02|2018/05/02||30|2018/05/11
3970171|2018/05/02|2018/05/02||30|2018/05/11
3970172|2018/05/04|2018/05/04||18|2018/05/11
3970173|2018/05/02|2018/05/02||30|2018/05/11
3970174|2018/05/02|2018/05/02||30|2018/05/11
3970175|2018/05/02|2018/05/02||30|2018/05/11
3970176|2018/05/03|2018/05/03||1|2018/05/11
3970177|2018/05/02|2018/05/02||30|2018/05/11
3970178|2018/05/02|2018/05/02||30|2018/05/11
3970179|2018/05/02|2018/05/02||30|2018/05/11
3970180|2018/05/07|2018/05/07||1|2018/05/11
3970521|2018/05/03|2018/05/03||18|2018/05/11
